Patient ID,GLCM_Avg,GLCM_invDiff,GLCM_invDiffmom,GLCM_diffAvg,GLCM_diffVar,GLCM_sumVar2,GLCM_sumSquares,Shape_compactness2,Shape_maxDiameter2Dx,Shape_maxDiameter2Dy,Shape_maxDiameter2Dz,Shape_Elongation,Shape_Flatness,Shape_Roundness,Stats_std,Stats_var,Stats_InterquartileRange,Stats_10Percentile,Stats_90Percentile,Stats_RobustMeanAbsoluteDeviation,RLGL_GrayLevelNonUniformityNormalized,RLGL_RunLengthNonUniformityNormalized,RLGL_GrayLevelVariance,RLGL_RunVariance,RLGL_RunEntropy,GLSZM_SizeZoneVariabilityNormalized,GLSZM_IntensityVariabilityNormalized,GLSZM_GrayLevelVariance,GLSZM_ZoneVariance,GLSZM_ZoneEntropy,gldm_DependenceEntropy,gldm_DependenceNonUniformity,gldm_DependenceNonUniformityNormalized,gldm_DependenceVariance,gldm_GrayLevelNonUniformity,gldm_GrayLevelNonUniformityNormalized,gldm_GrayLevelVariance,gldm_HighGrayLevelEmphasis,gldm_LargeDependenceEmphasis,gldm_LargeDependenceHighGrayLevelEmphasis,gldm_LargeDependenceLowGrayLevelEmphasis,gldm_LowGrayLevelEmphasis,gldm_SmallDependenceEmphasis,gldm_SmallDependenceHighGrayLevelEmphasis,gldm_SmallDependenceLowGrayLevelEmphasis,ngtdm_Busyness,ngtdm_Coarseness,ngtdm_Complexity,ngtdm_Contrast,ngtdm_Strength
brain1,16.60808368859043,0.28722572382985151,0.20022255640475706,5.2844687898663176,16.655637050270975,108.73139,40.55236483913805,0.11412770190085324,44.548790405155785,61.580176713472497,47.218791363317422,1.7789885567018646,1.2191850589688906,0.6146906661500379,156.6112359,24527.07921,253.0,632.0,1044.4,103.00138343026681,0.045141238149810553,0.89504946594809964,39.118151021979244,0.084794577895906276,4.9150380031595029,0.3997843804512568,0.044057307901283996,40.603139923932623,8.721239097486345,6.5082149861981904,6.8850198992694587,936.66014019821125,0.22641047623838803,2.1619872286911961,186.8143582306019,0.045156963555862191,39.192714199063978,280.40657481266618,8.6615905245346863,2335.0519700265895,0.076505907367108272,0.0086002740947983703,0.37960167130711403,110.30563945728203,0.0035453562622343696,1.4467306835644076,0.0017120352713566309,0.34796054586526082,5.9914259435373462e-05,0.63073148273486113
brain2,17.596367643690353,0.34588791642687811,0.26177848833510498,3.9826729595606398,11.757829127963504,42.31745,16.074173100898356,0.45448842446195398,18.584714191036138,14.779664291265204,15.566295972790055,1.349948284872931,1.1970744957871127,1.0348881179911384,102.1243478,10429.38241,97.0,305.2,532.6,44.018676959200739,0.091996476055040396,0.86636317253489692,17.628601560571756,0.15036620752859622,4.2097604062063834,0.42444201889420002,0.059129060182919947,27.85042718958184,27.644472881930067,5.6711057069800717,6.0278542914239779,77.860927152317885,0.17187842638480769,3.1535848817546985,43.472406181015451,0.095965576558533008,16.831308568337647,278.15673289183223,12.938189845474614,3072.9955849889625,0.064771635420059259,0.007352909129511827,0.31436421901358041,98.737453271963673,0.0039196112868640949,0.15164513751048295,0.01286160865655888,1.6825211314863389,0.0002689553152317465,3.9663129914847497
breast1,2.0314251665935505,0.73109230839874451,0.72442214443357622,0.5711662030283523,0.32725642574315206,1.16961,0.45588441376750161,0.38380439201415378,5.3539199187231024,7.3046819999999997,7.7726464321122961,1.428604469589498,1.0230321043228239,0.8556418393749154,16.04228117,257.3547851,30.0,110.2,151.8,11.083091863105961,0.38835850641589403,0.59084668848470023,0.49074379307592125,0.66325640552079446,2.4289934901043968,0.20000000000000001,0.44,0.64000000000000001,454.63999999999999,2.3219280948873608,4.6617281966026489,13.251748251748252,0.092669568194043719,11.048266418895791,55.629370629370626,0.38901657782776666,0.4749376497628246,3.5804195804195804,72.062937062937067,295.91608391608389,27.0475912975913,0.51806526806526798,0.031210986272908949,0.081947866184390011,0.022342990461955925,8.9043951456360233,0.050821154965410821,0.0082145909265791753,0.00044669705438426832,0.12459116813839596
lung1,19.570210424032926,0.41736196376573204,0.34435017672215545,3.2166030915302346,9.38199581278284,58.7475,21.652368580855146,0.43779658729410265,16.044440540748841,13.537563480922259,15.978930906357792,1.391224926978379,1.3975132116992457,1.031094246578549,124.0181892,15380.51125,198.0,-245.4,71.0,81.580905349794236,0.066018367501505165,0.81969421235194517,24.661240952561574,0.38206181267492256,4.5556317621410027,0.46551957119048692,0.06139363091752624,21.557812711139139,85.329185622269279,5.5144836423279857,6.5503998915504766,120.97610513739546,0.14453537053452264,18.002914773562633,62.29510155316607,0.07442664462743856,24.733677910384273,383.9199522102748,37.449223416965353,20425.035842293906,0.075562483556322932,0.0056058622732408228,0.31818600342693032,84.051168586019344,0.003630174681129408,0.19930533973333536,0.0089851482891101057,0.73822878390479196,0.00021955754133650324,2.7864289040763568
lung2,35.275329629029159,0.67488828052808181,0.65209771741148159,1.5501077045805824,9.4711179692288354,28.33997,10.631815040073569,0.30580544578561908,61.55885055061254,57.721196463628289,55.235955786717156,1.3452677171012322,1.3057448083030267,0.8768796050137607,96.95755972,9400.768387,30.0,-102.0,60.7,19.669786252104565,0.17104695463266578,0.50177061032537063,23.257155860667826,3.4307119998894922,4.6660378730232202,0.49172536813079143,0.052457981649449904,36.257266274565389,53543.052393899954,6.0258037291005531,6.5037423957040241,1074.54609641292,0.043602746973418274,53.916928452166815,6938.2030514526859,0.28153721195636611,15.086611671909004,1226.7050803441,191.3726667748742,250067.02475247523,0.14681846709509599,0.00093448503739726116,0.11508039120847749,97.930584534151734,0.0002186069898830078,2.0631991387093995,0.00020294841093398475,0.04640512630538516,1.1469959784621827e-06,0.61472046408820147
