featureName,brain1,brain2,breast1,lung1,lung2
general_info_TestCase,brain1,brain2,breast1,lung1,lung2
general_info_BoundingBox,"(162, 84, 11, 47, 70, 7)","(205, 155, 8, 20, 15, 3)","(21, 64, 8, 9, 12, 3)","(206, 347, 32, 24, 26, 3)","(318, 333, 15, 87, 66, 11)"
general_info_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
general_info_GeneralSettings,"{'distances': [1], 'voxelArrayShift': 2000, 'additionalInfo': True, 'enableCExtensions': True, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'gldm_a': 0, 'weightingNorm': None, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'label': 1, 'minimumROIDimensions': 1, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}","{'distances': [1], 'voxelArrayShift': 2000, 'additionalInfo': True, 'enableCExtensions': True, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'gldm_a': 0, 'weightingNorm': None, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'label': 1, 'minimumROIDimensions': 1, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}","{'distances': [1], 'voxelArrayShift': 2000, 'additionalInfo': True, 'enableCExtensions': True, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'gldm_a': 0, 'weightingNorm': None, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'label': 1, 'minimumROIDimensions': 1, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}","{'distances': [1], 'voxelArrayShift': 2000, 'additionalInfo': True, 'enableCExtensions': True, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'gldm_a': 0, 'weightingNorm': None, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'label': 1, 'minimumROIDimensions': 1, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}","{'distances': [1], 'voxelArrayShift': 2000, 'additionalInfo': True, 'enableCExtensions': True, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'gldm_a': 0, 'weightingNorm': None, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'label': 1, 'minimumROIDimensions': 1, 'preCrop': False, 'resegmentRange': None, 'padDistance': 5}"
general_info_ImageHash,5c9ce3ca174f0f8324aa4d277e0fef82dc5ac566,f2b8fbc4d5d1da08a1a70e79a301f8a830139438,016951a8f9e8e5de21092d9d62b77262f92e04a5,34dca4200809a5e76c702d6b9503d958093057a3,14f57fd04838eb8c9cca2a0dd871d29971585975
general_info_ImageSpacing,"(0.7812499999999999, 0.7812499999999999, 6.499999999999998)","(0.7812499999999999, 0.7812499999999999, 6.499999999999998)","(0.664062, 0.664062, 2.1)","(0.5703125, 0.5703125, 5.0)","(0.6269531, 0.6269531, 5.0)"
general_info_MaskHash,9dc2c3137b31fd872997d92c9a92d5178126d9d3,b41049c71633e194bee4891750392b72eabd8800,5aa7d57fd57e83125b605c036c40f4a0d0cfd3e4,054d887740012177bd1f9031ddac2b67170af0f3,e284ff05593bc6cb2747261882e452d4efbccb3a
general_info_NumpyVersion,1.14.0,1.14.0,1.14.0,1.14.0,1.14.0
general_info_PyWaveletVersion,0.5.2,0.5.2,0.5.2,0.5.2,0.5.2
general_info_SimpleITKVersion,0.9.1,0.9.1,0.9.1,0.9.1,0.9.1
general_info_Version,1.3.0.post61.dev0+gec8ca3f,1.3.0.post61.dev0+gec8ca3f,1.3.0.post61.dev0+gec8ca3f,1.3.0.post61.dev0+gec8ca3f,1.3.0.post61.dev0+gec8ca3f
general_info_VolumeNum,2,1,1,1,1
general_info_VoxelNum,4137,453,143,837,24644
original_gldm_GrayLevelVariance,39.19271419906397,16.831308568337644,0.4749376497628246,24.733677910384273,15.086611671909008
original_gldm_HighGrayLevelEmphasis,280.4065748126662,278.15673289183223,3.5804195804195804,383.9199522102748,1226.7050803441
original_gldm_DependenceEntropy,6.885019899269458,6.027854291423979,4.661728196602649,6.550399891550477,6.503742395704024
original_gldm_DependenceNonUniformity,936.6601401982113,77.86092715231788,13.251748251748252,120.97610513739546,1074.54609641292
original_gldm_GrayLevelNonUniformity,186.8143582306019,43.47240618101545,55.62937062937063,62.29510155316607,6938.203051452686
original_gldm_SmallDependenceEmphasis,0.37960167130711403,0.3143642190135804,0.03121098627290894,0.3181860034269303,0.11508039120847749
original_gldm_SmallDependenceHighGrayLevelEmphasis,110.30563945728201,98.73745327196367,0.08194786618439001,84.05116858601934,97.93058453415173
original_gldm_DependenceNonUniformityNormalized,0.22641047623838803,0.1718784263848077,0.09266956819404372,0.14453537053452264,0.043602746973418274
original_gldm_LargeDependenceEmphasis,8.661590524534686,12.938189845474614,72.06293706293707,37.44922341696535,191.3726667748742
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.07650590736710827,0.06477163542005925,27.0475912975913,0.07556248355632293,0.146818467095096
original_gldm_DependenceVariance,2.1619872286911965,3.153584881754699,11.04826641889579,18.002914773562637,53.9169284521668
original_gldm_LargeDependenceHighGrayLevelEmphasis,2335.0519700265895,3072.9955849889625,295.9160839160839,20425.035842293906,250067.02475247523
